dataset,model,perturbation,param_value,auroc_baseline,auroc_ood,delta_auroc,p_value,p_value_fdr,significant
abundance_WT2D,ContextTab,densification,0.133,0.7745,0.7523,0.0222,0.547,0.7856892430278883,False
abundance_WT2D,ContextTab,densification,0.255,0.7745,0.7016,0.0728,0.0397,0.16240909090909092,False
abundance_WT2D,ContextTab,densification,0.378,0.7745,0.7139,0.0606,0.059,0.21346733668341708,False
abundance_WT2D,ContextTab,densification,0.501,0.7745,0.747,0.0274,0.3129,0.5730761421319797,False
abundance_WT2D,ContextTab,densification,0.623,0.7745,0.7424,0.032,0.2321,0.48438260869565214,False
abundance_WT2D,ContextTab,remove_features,k=1 / highest_abundance,0.7745,0.7771,-0.0026,0.4277,0.6858440979955457,False
abundance_WT2D,ContextTab,remove_features,k=106 / highest_abundance,0.7745,0.7475,0.027,0.4554,0.7006153846153846,False
abundance_WT2D,ContextTab,remove_features,k=127 / highest_abundance,0.7745,0.7648,0.0097,0.8013,0.9114312796208531,False
abundance_WT2D,ContextTab,remove_features,k=148 / highest_abundance,0.7745,0.7729,0.0015,0.9717,0.9883544303797469,False
abundance_WT2D,ContextTab,remove_features,k=169 / highest_abundance,0.7745,0.7843,-0.0099,0.83,0.9227110438729197,False
abundance_WT2D,ContextTab,remove_features,k=190 / highest_abundance,0.7745,0.7806,-0.0061,0.8924,0.9448941176470589,False
abundance_WT2D,ContextTab,remove_features,k=22 / highest_abundance,0.7745,0.7797,-0.0053,0.7842,0.9033984,False
abundance_WT2D,ContextTab,remove_features,k=43 / highest_abundance,0.7745,0.7609,0.0136,0.6093,0.8174748603351956,False
abundance_WT2D,ContextTab,remove_features,k=64 / highest_abundance,0.7745,0.7646,0.0099,0.721,0.8695477386934674,False
abundance_WT2D,ContextTab,remove_features,k=85 / highest_abundance,0.7745,0.7718,0.0026,0.9421,0.9731879483500717,False
abundance_WT2D,ContextTab,sparsity,0.787,0.7745,0.758,0.0165,0.3605,0.6165320665083135,False
abundance_WT2D,ContextTab,sparsity,0.827,0.7745,0.7646,0.0099,0.7383,0.8769078947368423,False
abundance_WT2D,ContextTab,sparsity,0.868,0.7745,0.7277,0.0467,0.2647,0.5314475138121546,False
abundance_WT2D,ContextTab,sparsity,0.909,0.7745,0.6821,0.0924,0.0659,0.22726066350710902,False
abundance_WT2D,ContextTab,sparsity,0.949,0.7745,0.6955,0.079,0.1323,0.34141935483870967,False
abundance_WT2D,RF,densification,0.133,0.6591,0.5353,0.1237,0.1225,0.3315789473684211,False
abundance_WT2D,RF,densification,0.255,0.6591,0.5388,0.1202,0.0768,0.24972972972972973,False
abundance_WT2D,RF,densification,0.378,0.6591,0.6336,0.0254,0.661,0.8408480565371025,False
abundance_WT2D,RF,densification,0.501,0.6591,0.665,-0.0059,0.9081,0.9544992700729927,False
abundance_WT2D,RF,densification,0.623,0.6591,0.6755,-0.0165,0.6527,0.8347140319715808,False
abundance_WT2D,RF,remove_features,k=1 / highest_abundance,0.6591,0.7106,-0.0516,0.1371,0.35004255319148936,False
abundance_WT2D,RF,remove_features,k=106 / highest_abundance,0.6591,0.7793,-0.1202,0.0213,0.1110857142857143,False
abundance_WT2D,RF,remove_features,k=127 / highest_abundance,0.6591,0.8001,-0.1411,0.0049,0.043555555555555556,True
abundance_WT2D,RF,remove_features,k=148 / highest_abundance,0.6591,0.756,-0.097,0.1057,0.29962204724409447,False
abundance_WT2D,RF,remove_features,k=169 / highest_abundance,0.6591,0.7828,-0.1237,0.0293,0.1332,False
abundance_WT2D,RF,remove_features,k=190 / highest_abundance,0.6591,0.7591,-0.1,0.0704,0.23575813953488373,False
abundance_WT2D,RF,remove_features,k=22 / highest_abundance,0.6591,0.7503,-0.0913,0.0644,0.22726066350710902,False
abundance_WT2D,RF,remove_features,k=43 / highest_abundance,0.6591,0.7299,-0.0709,0.1434,0.35725951557093427,False
abundance_WT2D,RF,remove_features,k=64 / highest_abundance,0.6591,0.7933,-0.1343,0.0021,0.02478688524590164,True
abundance_WT2D,RF,remove_features,k=85 / highest_abundance,0.6591,0.7718,-0.1128,0.0316,0.14044444444444446,False
abundance_WT2D,RF,sparsity,0.787,0.6591,0.6656,-0.0066,0.8382,0.9227110438729197,False
abundance_WT2D,RF,sparsity,0.827,0.6591,0.6955,-0.0364,0.4051,0.6659178082191781,False
abundance_WT2D,RF,sparsity,0.868,0.6591,0.6738,-0.0147,0.7747,0.900116129032258,False
abundance_WT2D,RF,sparsity,0.909,0.6591,0.6779,-0.0189,0.7466,0.881232786885246,False
abundance_WT2D,RF,sparsity,0.949,0.6591,0.6459,0.0132,0.837,0.9227110438729197,False
abundance_WT2D,TabDPT,densification,0.133,0.557,0.4993,0.0577,0.5371,0.7765301204819277,False
abundance_WT2D,TabDPT,densification,0.255,0.557,0.4695,0.0875,0.3494,0.6059423076923077,False
abundance_WT2D,TabDPT,densification,0.378,0.557,0.4936,0.0634,0.5116,0.7471643002028399,False
abundance_WT2D,TabDPT,densification,0.501,0.557,0.4822,0.0748,0.4187,0.6820452488687783,False
abundance_WT2D,TabDPT,densification,0.623,0.557,0.523,0.034,0.7057,0.8657172061328791,False
abundance_WT2D,TabDPT,remove_features,k=1 / highest_abundance,0.5441,0.5432,0.0009,0.9693,0.9883544303797469,False
abundance_WT2D,TabDPT,remove_features,k=106 / highest_abundance,0.5441,0.5599,-0.0158,0.8484,0.9227311178247736,False
abundance_WT2D,TabDPT,remove_features,k=127 / highest_abundance,0.5441,0.5454,-0.0013,0.9878,0.9961008403361344,False
abundance_WT2D,TabDPT,remove_features,k=148 / highest_abundance,0.5441,0.6801,-0.136,0.0626,0.22312871287128713,False
abundance_WT2D,TabDPT,remove_features,k=169 / highest_abundance,0.5441,0.5836,-0.0395,0.6352,0.8272839059674503,False
abundance_WT2D,TabDPT,remove_features,k=190 / highest_abundance,0.5441,0.6055,-0.0614,0.4666,0.705781512605042,False
abundance_WT2D,TabDPT,remove_features,k=22 / highest_abundance,0.5441,0.5998,-0.0557,0.3875,0.6458333333333334,False
abundance_WT2D,TabDPT,remove_features,k=43 / highest_abundance,0.5441,0.6332,-0.0891,0.1869,0.4218432601880878,False
abundance_WT2D,TabDPT,remove_features,k=64 / highest_abundance,0.5441,0.6525,-0.1084,0.1258,0.3367137546468401,False
abundance_WT2D,TabDPT,remove_features,k=85 / highest_abundance,0.5441,0.5551,-0.011,0.8955,0.946784140969163,False
abundance_WT2D,TabDPT,sparsity,0.787,0.557,0.6235,-0.0665,0.2413,0.4963885714285714,False
abundance_WT2D,TabDPT,sparsity,0.827,0.557,0.6253,-0.0682,0.3208,0.5803417085427135,False
abundance_WT2D,TabDPT,sparsity,0.868,0.557,0.5744,-0.0173,0.8149,0.9200250000000001,False
abundance_WT2D,TabDPT,sparsity,0.909,0.557,0.5616,-0.0046,0.9557,0.9836228571428572,False
abundance_WT2D,TabDPT,sparsity,0.949,0.557,0.6415,-0.0845,0.3305,0.589009900990099,False
abundance_WT2D,TabICL,densification,0.133,0.7977,0.6253,0.1724,0.0205,0.10958823529411765,False
abundance_WT2D,TabICL,densification,0.255,0.7977,0.5893,0.2084,0.0049,0.043555555555555556,True
abundance_WT2D,TabICL,densification,0.378,0.7977,0.6134,0.1843,0.01,0.06923076923076923,False
abundance_WT2D,TabICL,densification,0.501,0.7977,0.6621,0.1356,0.0254,0.12384,False
abundance_WT2D,TabICL,densification,0.623,0.7977,0.7222,0.0755,0.1318,0.34141935483870967,False
abundance_WT2D,TabICL,remove_features,k=1 / highest_abundance,0.7977,0.8096,-0.0118,0.4256,0.6855302013422818,False
abundance_WT2D,TabICL,remove_features,k=106 / highest_abundance,0.7977,0.7157,0.0821,0.066,0.22726066350710902,False
abundance_WT2D,TabICL,remove_features,k=127 / highest_abundance,0.7977,0.7573,0.0404,0.3802,0.6372837209302326,False
abundance_WT2D,TabICL,remove_features,k=148 / highest_abundance,0.7977,0.7644,0.0333,0.4687,0.7074716981132075,False
abundance_WT2D,TabICL,remove_features,k=169 / highest_abundance,0.7977,0.778,0.0197,0.7049,0.8657172061328791,False
abundance_WT2D,TabICL,remove_features,k=190 / highest_abundance,0.7977,0.7933,0.0044,0.9281,0.9698577648766328,False
abundance_WT2D,TabICL,remove_features,k=22 / highest_abundance,0.7977,0.7736,0.0241,0.4665,0.705781512605042,False
abundance_WT2D,TabICL,remove_features,k=43 / highest_abundance,0.7977,0.8004,-0.0026,0.9413,0.9731879483500717,False
abundance_WT2D,TabICL,remove_features,k=64 / highest_abundance,0.7977,0.7995,-0.0018,0.963,0.9876923076923078,False
