dataset,model,perturbation,param_value,auroc_baseline,auroc_ood,delta_auroc,p_value,p_value_fdr,significant
abundance_WT2D,ContextTab,densification,0.133,0.7745,0.7589,0.0156,0.6955,0.8763141361256546,False
abundance_WT2D,ContextTab,densification,0.255,0.7745,0.7609,0.0136,0.7169,0.8884130808950086,False
abundance_WT2D,ContextTab,densification,0.378,0.7745,0.7495,0.025,0.4295,0.7450961538461538,False
abundance_WT2D,ContextTab,densification,0.501,0.7745,0.74,0.0344,0.2331,0.5855331010452962,False
abundance_WT2D,ContextTab,densification,0.623,0.7745,0.7475,0.027,0.24,0.5897610921501706,False
abundance_WT2D,ContextTab,remove_features,k=1 / highest_abundance,0.7745,0.7771,-0.0026,0.4277,0.7450961538461538,False
abundance_WT2D,ContextTab,remove_features,k=106 / highest_abundance,0.7745,0.8087,-0.0342,0.2599,0.6135344262295083,False
abundance_WT2D,ContextTab,remove_features,k=127 / highest_abundance,0.7745,0.8438,-0.0693,0.0418,0.20198657718120802,False
abundance_WT2D,ContextTab,remove_features,k=148 / highest_abundance,0.7745,0.8528,-0.0783,0.0227,0.1396923076923077,False
abundance_WT2D,ContextTab,remove_features,k=169 / highest_abundance,0.7745,0.8548,-0.0803,0.0288,0.16074418604651164,False
abundance_WT2D,ContextTab,remove_features,k=190 / highest_abundance,0.7745,0.8642,-0.0897,0.0192,0.12342857142857142,False
abundance_WT2D,ContextTab,remove_features,k=22 / highest_abundance,0.7745,0.7817,-0.0072,0.7246,0.8907290969899666,False
abundance_WT2D,ContextTab,remove_features,k=43 / highest_abundance,0.7745,0.7817,-0.0072,0.7763,0.903663974151858,False
abundance_WT2D,ContextTab,remove_features,k=64 / highest_abundance,0.7745,0.7938,-0.0193,0.4806,0.77008,False
abundance_WT2D,ContextTab,remove_features,k=85 / highest_abundance,0.7745,0.8028,-0.0283,0.3873,0.7319055118110236,False
abundance_WT2D,ContextTab,sparsity,0.787,0.7745,0.7839,-0.0094,0.6607,0.8571243243243243,False
abundance_WT2D,ContextTab,sparsity,0.827,0.7745,0.7758,-0.0013,0.9645,0.9929278642149929,False
