dataset,model,perturbation,param_value,auroc_baseline,auroc_ood,delta_auroc,p_value,p_value_fdr,significant
abundance_WT2D,ContextTab,densification,0.133,0.7745,0.7163,0.0581,0.1158,0.3321752988047809,False
abundance_WT2D,ContextTab,densification,0.255,0.7745,0.7067,0.0678,0.0666,0.2385671641791045,False
abundance_WT2D,ContextTab,densification,0.378,0.7745,0.7376,0.0369,0.2365,0.4978947368421053,False
abundance_WT2D,ContextTab,densification,0.501,0.7745,0.74,0.0344,0.1119,0.32356626506024094,False
abundance_WT2D,ContextTab,densification,0.623,0.7745,0.7464,0.0281,0.2656,0.5373854748603352,False
abundance_WT2D,ContextTab,remove_features,k=1 / highest_abundance,0.7745,0.7771,-0.0026,0.4277,0.6951331828442439,False
abundance_WT2D,ContextTab,remove_features,k=106 / highest_abundance,0.7745,0.7475,0.027,0.4554,0.7097142857142857,False
abundance_WT2D,ContextTab,remove_features,k=127 / highest_abundance,0.7745,0.7648,0.0097,0.8013,0.920153110047847,False
abundance_WT2D,ContextTab,remove_features,k=148 / highest_abundance,0.7745,0.7729,0.0015,0.9717,0.9911424541607898,False
abundance_WT2D,ContextTab,remove_features,k=169 / highest_abundance,0.7745,0.7843,-0.0099,0.83,0.9297439024390243,False
abundance_WT2D,ContextTab,remove_features,k=190 / highest_abundance,0.7745,0.7806,-0.0061,0.8924,0.9476814159292035,False
abundance_WT2D,ContextTab,remove_features,k=22 / highest_abundance,0.7745,0.7797,-0.0053,0.7842,0.9136310679611651,False
abundance_WT2D,ContextTab,remove_features,k=43 / highest_abundance,0.7745,0.7609,0.0136,0.6093,0.823609756097561,False
abundance_WT2D,ContextTab,remove_features,k=64 / highest_abundance,0.7745,0.7646,0.0099,0.721,0.8768918918918919,False
abundance_WT2D,ContextTab,remove_features,k=85 / highest_abundance,0.7745,0.7718,0.0026,0.9421,0.9759884892086331,False
abundance_WT2D,ContextTab,sparsity,0.787,0.7745,0.758,0.0165,0.3605,0.6284745762711864,False
abundance_WT2D,ContextTab,sparsity,0.827,0.7745,0.7646,0.0099,0.7383,0.8856478405315616,False
abundance_WT2D,ContextTab,sparsity,0.868,0.7745,0.7277,0.0467,0.2647,0.5373854748603352,False
abundance_WT2D,ContextTab,sparsity,0.909,0.7745,0.6821,0.0924,0.0659,0.2385671641791045,False
abundance_WT2D,ContextTab,sparsity,0.949,0.7745,0.6955,0.079,0.1323,0.36219011406844104,False
abundance_WT2D,RF,densification,0.133,0.6591,0.5739,0.0851,0.1745,0.4160264900662251,False
abundance_WT2D,RF,densification,0.255,0.6591,0.6172,0.0419,0.5003,0.7473360995850621,False
abundance_WT2D,RF,densification,0.378,0.6591,0.6169,0.0421,0.4431,0.7046505494505494,False
abundance_WT2D,RF,densification,0.501,0.6591,0.5961,0.063,0.1414,0.3715620437956204,False
abundance_WT2D,RF,densification,0.623,0.6591,0.6584,0.0007,0.9834,0.9944494382022472,False
abundance_WT2D,RF,remove_features,k=1 / highest_abundance,0.6591,0.7106,-0.0516,0.1371,0.36695910780669144,False
abundance_WT2D,RF,remove_features,k=106 / highest_abundance,0.6591,0.7793,-0.1202,0.0213,0.12468292682926829,False
abundance_WT2D,RF,remove_features,k=127 / highest_abundance,0.6591,0.8001,-0.1411,0.0049,0.049690140845070424,True
abundance_WT2D,RF,remove_features,k=148 / highest_abundance,0.6591,0.756,-0.097,0.1057,0.31578423236514525,False
abundance_WT2D,RF,remove_features,k=169 / highest_abundance,0.6591,0.7828,-0.1237,0.0293,0.15008450704225354,False
abundance_WT2D,RF,remove_features,k=190 / highest_abundance,0.6591,0.7591,-0.1,0.0704,0.2460582524271845,False
abundance_WT2D,RF,remove_features,k=22 / highest_abundance,0.6591,0.7503,-0.0913,0.0644,0.2385671641791045,False
abundance_WT2D,RF,remove_features,k=43 / highest_abundance,0.6591,0.7299,-0.0709,0.1434,0.37273646209386285,False
abundance_WT2D,RF,remove_features,k=64 / highest_abundance,0.6591,0.7933,-0.1343,0.0021,0.028528301886792454,True
abundance_WT2D,RF,remove_features,k=85 / highest_abundance,0.6591,0.7718,-0.1128,0.0316,0.1558356164383562,False
abundance_WT2D,RF,sparsity,0.787,0.6591,0.6656,-0.0066,0.8382,0.9297439024390243,False
abundance_WT2D,RF,sparsity,0.827,0.6591,0.6955,-0.0364,0.4051,0.6720552995391705,False
abundance_WT2D,RF,sparsity,0.868,0.6591,0.6738,-0.0147,0.7747,0.9089120521172639,False
abundance_WT2D,RF,sparsity,0.909,0.6591,0.6779,-0.0189,0.7466,0.8885157024793389,False
abundance_WT2D,RF,sparsity,0.949,0.6591,0.6459,0.0132,0.837,0.9297439024390243,False
abundance_WT2D,TabDPT,densification,0.133,0.557,0.495,0.0621,0.4923,0.739991649269311,False
abundance_WT2D,TabDPT,densification,0.255,0.557,0.5713,-0.0143,0.8681,0.9361077844311378,False
abundance_WT2D,TabDPT,densification,0.378,0.557,0.5024,0.0546,0.5384,0.7863042596348884,False
abundance_WT2D,TabDPT,densification,0.501,0.557,0.5033,0.0538,0.5316,0.7799755600814664,False
abundance_WT2D,TabDPT,densification,0.623,0.557,0.4862,0.0709,0.3701,0.6390215827338129,False
abundance_WT2D,TabDPT,remove_features,k=1 / highest_abundance,0.5441,0.5432,0.0009,0.9693,0.9911424541607898,False
abundance_WT2D,TabDPT,remove_features,k=106 / highest_abundance,0.5441,0.5599,-0.0158,0.8484,0.9297534246575343,False
abundance_WT2D,TabDPT,remove_features,k=127 / highest_abundance,0.5441,0.5454,-0.0013,0.9878,0.9961008403361344,False
abundance_WT2D,TabDPT,remove_features,k=148 / highest_abundance,0.5441,0.6801,-0.136,0.0626,0.23597905759162305,False
abundance_WT2D,TabDPT,remove_features,k=169 / highest_abundance,0.5441,0.5836,-0.0395,0.6352,0.8314502712477395,False
abundance_WT2D,TabDPT,remove_features,k=190 / highest_abundance,0.5441,0.6055,-0.0614,0.4666,0.7147914893617021,False
abundance_WT2D,TabDPT,remove_features,k=22 / highest_abundance,0.5441,0.5998,-0.0557,0.3875,0.6533957845433255,False
abundance_WT2D,TabDPT,remove_features,k=43 / highest_abundance,0.5441,0.6332,-0.0891,0.1869,0.42992971246006395,False
abundance_WT2D,TabDPT,remove_features,k=64 / highest_abundance,0.5441,0.6525,-0.1084,0.1258,0.3538125,False
abundance_WT2D,TabDPT,remove_features,k=85 / highest_abundance,0.5441,0.5551,-0.011,0.8955,0.9495729013254787,False
abundance_WT2D,TabDPT,sparsity,0.787,0.557,0.6235,-0.0665,0.2413,0.5035826086956522,False
abundance_WT2D,TabDPT,sparsity,0.827,0.557,0.6253,-0.0682,0.3208,0.5937686375321336,False
abundance_WT2D,TabDPT,sparsity,0.868,0.557,0.5744,-0.0173,0.8149,0.9272692913385827,False
abundance_WT2D,TabDPT,sparsity,0.909,0.557,0.5616,-0.0046,0.9557,0.9864412607449857,False
abundance_WT2D,TabDPT,sparsity,0.949,0.557,0.6415,-0.0845,0.3305,0.5993954659949622,False
abundance_WT2D,TabICL,densification,0.133,0.7977,0.5674,0.2304,0.0022,0.029333333333333336,True
abundance_WT2D,TabICL,densification,0.255,0.7977,0.5564,0.2413,0.0012,0.020571428571428567,True
abundance_WT2D,TabICL,densification,0.378,0.7977,0.6025,0.1953,0.0049,0.049690140845070424,True
abundance_WT2D,TabICL,densification,0.501,0.7977,0.6705,0.1272,0.032,0.156734693877551,False
abundance_WT2D,TabICL,densification,0.623,0.7977,0.7315,0.0663,0.1844,0.42966990291262136,False
abundance_WT2D,TabICL,remove_features,k=1 / highest_abundance,0.7977,0.8096,-0.0118,0.4256,0.6948571428571427,False
abundance_WT2D,TabICL,remove_features,k=106 / highest_abundance,0.7977,0.7157,0.0821,0.066,0.2385671641791045,False
abundance_WT2D,TabICL,remove_features,k=127 / highest_abundance,0.7977,0.7573,0.0404,0.3802,0.6463018867924528,False
abundance_WT2D,TabICL,remove_features,k=148 / highest_abundance,0.7977,0.7644,0.0333,0.4687,0.7164840764331211,False
abundance_WT2D,TabICL,remove_features,k=169 / highest_abundance,0.7977,0.778,0.0197,0.7049,0.8731546391752577,False
abundance_WT2D,TabICL,remove_features,k=190 / highest_abundance,0.7977,0.7933,0.0044,0.9281,0.9712674418604651,False
abundance_WT2D,TabICL,remove_features,k=22 / highest_abundance,0.7977,0.7736,0.0241,0.4665,0.7147914893617021,False
abundance_WT2D,TabICL,remove_features,k=43 / highest_abundance,0.7977,0.8004,-0.0026,0.9413,0.9759884892086331,False
abundance_WT2D,TabICL,remove_features,k=64 / highest_abundance,0.7977,0.7995,-0.0018,0.963,0.9905142857142857,False
abundance_WT2D,TabICL,remove_features,k=85 / highest_abundance,0.7977,0.7797,0.018,0.6168,0.8285373134328359,False
abundance_WT2D,TabICL,sparsity,0.787,0.7977,0.6972,0.1005,0.019,0.11593220338983051,False
abundance_WT2D,TabICL,sparsity,0.827,0.7977,0.695,0.1027,0.0345,0.16129870129870133,False
abundance_WT2D,TabICL,sparsity,0.868,0.7977,0.6871,0.1106,0.0405,0.17783132530120482,False
abundance_WT2D,TabICL,sparsity,0.909,0.7977,0.6648,0.133,0.018,0.1157142857142857,False
abundance_WT2D,TabICL,sparsity,0.949,0.7977,0.6771,0.1207,0.056,0.22032786885245903,False
abundance_WT2D,TabPFN,densification,0.133,0.7183,0.5862,0.1321,0.0136,0.09237735849056604,False
abundance_WT2D,TabPFN,densification,0.255,0.7183,0.6077,0.1106,0.0108,0.08438709677419355,False
abundance_WT2D,TabPFN,densification,0.378,0.7183,0.699,0.0193,0.6039,0.8232452830188679,False
abundance_WT2D,TabPFN,densification,0.501,0.7183,0.6713,0.047,0.1356,0.36695910780669144,False
abundance_WT2D,TabPFN,densification,0.623,0.7183,0.6749,0.0434,0.1411,0.3715620437956204,False
abundance_WT2D,TabPFN,remove_features,k=1 / highest_abundance,0.7183,0.724,-0.0057,0.5753,0.8121882352941177,False
abundance_WT2D,TabPFN,remove_features,k=106 / highest_abundance,0.7183,0.7407,-0.0224,0.6352,0.8314502712477395,False
abundance_WT2D,TabPFN,remove_features,k=127 / highest_abundance,0.7183,0.7271,-0.0088,0.8501,0.9302006079027356,False
abundance_WT2D,TabPFN,remove_features,k=148 / highest_abundance,0.7183,0.7459,-0.0276,0.5717,0.8114173228346456,False
abundance_WT2D,TabPFN,remove_features,k=169 / highest_abundance,0.7183,0.7688,-0.0505,0.3161,0.5865773195876288,False
abundance_WT2D,TabPFN,remove_features,k=190 / highest_abundance,0.7183,0.7604,-0.0421,0.427,0.6951331828442439,False
abundance_WT2D,TabPFN,remove_features,k=22 / highest_abundance,0.7183,0.7249,-0.0066,0.87,0.9363228699551569,False
abundance_WT2D,TabPFN,remove_features,k=43 / highest_abundance,0.7183,0.7297,-0.0114,0.8011,0.920153110047847,False
abundance_WT2D,TabPFN,remove_features,k=64 / highest_abundance,0.7183,0.717,0.0013,0.9751,0.9911424541607898,False
abundance_WT2D,TabPFN,remove_features,k=85 / highest_abundance,0.7183,0.7556,-0.0373,0.4376,0.7046505494505494,False
abundance_WT2D,TabPFN,sparsity,0.787,0.7183,0.7552,-0.0369,0.2778,0.5494945054945055,False
abundance_WT2D,TabPFN,sparsity,0.827,0.7183,0.7604,-0.0421,0.2647,0.5373854748603352,False
abundance_WT2D,TabPFN,sparsity,0.868,0.7183,0.7258,-0.0075,0.8648,0.9361077844311378,False
abundance_WT2D,TabPFN,sparsity,0.909,0.7183,0.7065,0.0118,0.7966,0.9199615384615385,False
abundance_WT2D,TabPFN,sparsity,0.949,0.7183,0.7424,-0.0241,0.6097,0.823609756097561,False
abundance_WT2D,XGBoost,densification,0.133,0.6863,0.5507,0.1356,0.0122,0.09055670103092785,False
abundance_WT2D,XGBoost,densification,0.255,0.6863,0.5388,0.1474,0.002,0.028235294117647056,True
abundance_WT2D,XGBoost,densification,0.378,0.6863,0.5946,0.0917,0.0735,0.2544230769230769,False
abundance_WT2D,XGBoost,densification,0.501,0.6863,0.5919,0.0943,0.0226,0.12971428571428573,False
abundance_WT2D,XGBoost,densification,0.623,0.6863,0.6301,0.0562,0.0381,0.17038509316770187,False
abundance_WT2D,XGBoost,remove_features,k=1 / highest_abundance,0.6863,0.6986,-0.0123,0.4438,0.7046505494505494,False
abundance_WT2D,XGBoost,remove_features,k=106 / highest_abundance,0.6863,0.7824,-0.0961,0.058,0.2245161290322581,False
abundance_WT2D,XGBoost,remove_features,k=127 / highest_abundance,0.6863,0.7595,-0.0733,0.1423,0.37256727272727275,False
abundance_WT2D,XGBoost,remove_features,k=148 / highest_abundance,0.6863,0.8017,-0.1154,0.0264,0.144,False
abundance_WT2D,XGBoost,remove_features,k=169 / highest_abundance,0.6863,0.799,-0.1128,0.029,0.15008450704225354,False
abundance_WT2D,XGBoost,remove_features,k=190 / highest_abundance,0.6863,0.8017,-0.1154,0.0229,0.1298267716535433,False
abundance_WT2D,XGBoost,remove_features,k=22 / highest_abundance,0.6863,0.7468,-0.0606,0.0963,0.29886206896551726,False
abundance_WT2D,XGBoost,remove_features,k=43 / highest_abundance,0.6863,0.7495,-0.0632,0.1394,0.37036162361623615,False
abundance_WT2D,XGBoost,remove_features,k=64 / highest_abundance,0.6863,0.7652,-0.079,0.0664,0.2385671641791045,False
abundance_WT2D,XGBoost,remove_features,k=85 / highest_abundance,0.6863,0.7661,-0.0799,0.0833,0.2708108108108108,False
abundance_WT2D,XGBoost,sparsity,0.787,0.6863,0.7341,-0.0478,0.1979,0.445275,False
abundance_WT2D,XGBoost,sparsity,0.827,0.6863,0.731,-0.0448,0.3263,0.5993954659949622,False
abundance_WT2D,XGBoost,sparsity,0.868,0.6863,0.6766,0.0097,0.8467,0.9297439024390243,False
abundance_WT2D,XGBoost,sparsity,0.909,0.6863,0.6678,0.0184,0.7306,0.8840873949579833,False
abundance_WT2D,XGBoost,sparsity,0.949,0.6863,0.6904,-0.0042,0.941,0.9759884892086331,False
abundance_cirrhosis--stagediscovery,ContextTab,densification,0.138,0.9321,0.8699,0.0623,0.0004,0.010285714285714287,True
abundance_cirrhosis--stagediscovery,ContextTab,densification,0.266,0.9321,0.91,0.0221,0.1075,0.3197387755102041,False
abundance_cirrhosis--stagediscovery,ContextTab,densification,0.393,0.9321,0.9167,0.0154,0.1654,0.3996241610738255,False
abundance_cirrhosis--stagediscovery,ContextTab,densification,0.521,0.9321,0.9179,0.0143,0.0919,0.2876869565217391,False
abundance_cirrhosis--stagediscovery,ContextTab,densification,0.649,0.9321,0.9308,0.0014,0.8569,0.9340393343419061,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=1 / highest_abundance,0.9321,0.9327,-0.0005,0.6138,0.8275955056179776,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=116 / highest_abundance,0.9321,0.9299,0.0022,0.816,0.9272692913385827,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=144 / highest_abundance,0.9321,0.9213,0.0108,0.3501,0.6178235294117647,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=173 / highest_abundance,0.9321,0.9106,0.0216,0.1017,0.3063765690376569,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=202 / highest_abundance,0.9321,0.9048,0.0274,0.0859,0.2773452914798207,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=231 / highest_abundance,0.9321,0.8858,0.0464,0.0148,0.09958878504672898,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=260 / highest_abundance,0.9321,0.8891,0.0431,0.0182,0.11593220338983051,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=29 / highest_abundance,0.9321,0.9337,-0.0016,0.8169,0.9272692913385827,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=58 / highest_abundance,0.9321,0.9277,0.0044,0.6034,0.8232452830188679,False
abundance_cirrhosis--stagediscovery,ContextTab,remove_features,k=87 / highest_abundance,0.9321,0.9351,-0.0029,0.7405,0.8856478405315616,False
abundance_cirrhosis--stagediscovery,ContextTab,sparsity,0.812,0.9321,0.9295,0.0026,0.7511,0.8894605263157895,False
abundance_cirrhosis--stagediscovery,ContextTab,sparsity,0.848,0.9321,0.929,0.0031,0.7528,0.8900098522167487,False
abundance_cirrhosis--stagediscovery,ContextTab,sparsity,0.883,0.9321,0.9258,0.0063,0.5937,0.8232452830188679,False
abundance_cirrhosis--stagediscovery,ContextTab,sparsity,0.919,0.9321,0.9131,0.0191,0.1557,0.38889965397923876,False
abundance_cirrhosis--stagediscovery,ContextTab,sparsity,0.954,0.9321,0.8831,0.049,0.012,0.09000000000000001,False
abundance_cirrhosis--stagediscovery,RF,densification,0.138,0.9325,0.8176,0.115,0.0,0.0,True
abundance_cirrhosis--stagediscovery,RF,densification,0.266,0.9325,0.8853,0.0472,0.0057,0.05545945945945946,False
abundance_cirrhosis--stagediscovery,RF,densification,0.393,0.9325,0.8971,0.0354,0.0129,0.09237735849056604,False
abundance_cirrhosis--stagediscovery,RF,densification,0.521,0.9325,0.9057,0.0268,0.0099,0.08,False
abundance_cirrhosis--stagediscovery,RF,densification,0.649,0.9325,0.9282,0.0043,0.5556,0.8032771084337349,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=1 / highest_abundance,0.9325,0.9295,0.003,0.6326,0.8314502712477395,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=116 / highest_abundance,0.9325,0.9276,0.0049,0.5478,0.7951935483870967,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=144 / highest_abundance,0.9325,0.915,0.0175,0.1654,0.3996241610738255,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=173 / highest_abundance,0.9325,0.9122,0.0203,0.098,0.3002033898305085,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=202 / highest_abundance,0.9325,0.9167,0.0159,0.2306,0.4901946902654868,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=231 / highest_abundance,0.9325,0.9091,0.0234,0.1035,0.3105,False
abundance_cirrhosis--stagediscovery,RF,remove_features,k=260 / highest_abundance,0.9325,0.8996,0.0329,0.051,0.20786440677966103,False
