dataset,model,perturbation,param_value,auroc_baseline,auroc_ood,delta_auroc,p_value,significant
abundance_WT2D,ContextTab,densification,0.133,0.7745,0.7231,0.0513,0.1154,False
abundance_WT2D,ContextTab,densification,0.255,0.7745,0.738,0.0364,0.2744,False
abundance_WT2D,ContextTab,densification,0.378,0.7745,0.7486,0.0259,0.3781,False
abundance_WT2D,ContextTab,densification,0.501,0.7745,0.7416,0.0329,0.2355,False
abundance_WT2D,ContextTab,densification,0.623,0.7745,0.7681,0.0064,0.7673,False
abundance_WT2D,ContextTab,remove_features,k=1 / highest_abundance,0.7745,0.7771,-0.0026,0.4277,False
abundance_WT2D,ContextTab,remove_features,k=106 / highest_abundance,0.7745,0.7696,0.0048,0.8891,False
abundance_WT2D,ContextTab,remove_features,k=127 / highest_abundance,0.7745,0.7821,-0.0077,0.8174,False
abundance_WT2D,ContextTab,remove_features,k=148 / highest_abundance,0.7745,0.7705,0.0039,0.9097,False
abundance_WT2D,ContextTab,remove_features,k=169 / highest_abundance,0.7745,0.7764,-0.002,0.9585,False
abundance_WT2D,ContextTab,remove_features,k=190 / highest_abundance,0.7745,0.7971,-0.0226,0.5559,False
abundance_WT2D,ContextTab,remove_features,k=22 / highest_abundance,0.7745,0.7731,0.0013,0.9483,False
abundance_WT2D,ContextTab,remove_features,k=43 / highest_abundance,0.7745,0.7499,0.0246,0.4171,False
abundance_WT2D,ContextTab,remove_features,k=64 / highest_abundance,0.7745,0.7635,0.011,0.7251,False
abundance_WT2D,ContextTab,remove_features,k=85 / highest_abundance,0.7745,0.7758,-0.0013,0.9694,False
abundance_WT2D,ContextTab,sparsity,0.787,0.7745,0.7534,0.0211,0.2321,False
abundance_WT2D,ContextTab,sparsity,0.827,0.7745,0.7536,0.0208,0.385,False
abundance_WT2D,ContextTab,sparsity,0.868,0.7745,0.7565,0.018,0.6157,False
abundance_WT2D,ContextTab,sparsity,0.909,0.7745,0.7699,0.0046,0.913,False
abundance_WT2D,ContextTab,sparsity,0.949,0.7745,0.7778,-0.0033,0.9417,False
abundance_WT2D,RF,densification,0.133,0.6591,0.5022,0.1569,0.0034,True
abundance_WT2D,RF,densification,0.255,0.6591,0.6283,0.0307,0.523,False
abundance_WT2D,RF,densification,0.378,0.6591,0.5858,0.0733,0.1432,False
abundance_WT2D,RF,densification,0.501,0.6591,0.6481,0.011,0.7698,False
abundance_WT2D,RF,densification,0.623,0.6591,0.6466,0.0125,0.6437,False
abundance_WT2D,RF,remove_features,k=1 / highest_abundance,0.6591,0.7106,-0.0516,0.1371,False
abundance_WT2D,RF,remove_features,k=106 / highest_abundance,0.6591,0.715,-0.0559,0.2925,False
abundance_WT2D,RF,remove_features,k=127 / highest_abundance,0.6591,0.7602,-0.1011,0.0439,True
abundance_WT2D,RF,remove_features,k=148 / highest_abundance,0.6591,0.7312,-0.0722,0.1462,False
abundance_WT2D,RF,remove_features,k=169 / highest_abundance,0.6591,0.7277,-0.0687,0.1899,False
abundance_WT2D,RF,remove_features,k=190 / highest_abundance,0.6591,0.7672,-0.1082,0.052,False
abundance_WT2D,RF,remove_features,k=22 / highest_abundance,0.6591,0.7694,-0.1104,0.0128,True
abundance_WT2D,RF,remove_features,k=43 / highest_abundance,0.6591,0.708,-0.0489,0.2705,False
abundance_WT2D,RF,remove_features,k=64 / highest_abundance,0.6591,0.7207,-0.0616,0.2092,False
abundance_WT2D,RF,remove_features,k=85 / highest_abundance,0.6591,0.7198,-0.0608,0.2366,False
abundance_WT2D,RF,sparsity,0.787,0.6591,0.6744,-0.0154,0.6206,False
abundance_WT2D,RF,sparsity,0.827,0.6591,0.7143,-0.0553,0.1839,False
abundance_WT2D,RF,sparsity,0.868,0.6591,0.7323,-0.0733,0.1454,False
abundance_WT2D,RF,sparsity,0.909,0.6591,0.7378,-0.0788,0.1135,False
abundance_WT2D,RF,sparsity,0.949,0.6591,0.7714,-0.1123,0.0234,True
